cohort,donor,group,percent_mapped,ChP_score_log2,neuronal_score_log2,ratio_neuro_over_ChP,modified_z,LepRb_junction_CPM,LepRb_junction_reads,LEPR_long_TPM,LEPR_short_TPM,flag_contamination,flag_low_junction_depth
GSE228458,AD1,AD,42.4,7.283,0.896,0.1230,0.02,0.1000,3,2.6601,28.5577,0,0
GSE228458,AD2,AD,46.7,7.801,0.621,0.0796,-1.17,0.0330,1,0.6320,12.8250,0,0
GSE228458,AD3,AD,44.6,8.486,0.669,0.0788,-1.19,0.0670,2,0.6420,12.4978,0,0
GSE228458,AD4,AD,42.7,7.458,1.351,0.1811,1.60,0.0000,0,0.9605,8.9004,0,0
GSE228458,DM1_1,DM1,46.7,8.402,0.823,0.0979,-0.67,0.0000,0,0.3179,14.7836,0,0
GSE228458,DM1_2,DM1,48.7,7.171,0.647,0.0902,-0.88,0.0000,0,1.2516,13.0555,0,0
GSE228458,DM1_3,DM1,52.9,8.190,1.027,0.1254,0.09,0.0000,0,0.2310,3.0913,0,1
GSE228458,DM1_4,DM1,54.8,7.623,1.114,0.1461,0.65,0.0000,0,0.4680,9.3561,0,0
GSE228458,ctrl1,control,45.6,8.672,1.107,0.1277,0.15,0.0670,2,1.3142,43.0602,0,0
GSE228458,ctrl2,control,48.4,8.545,1.045,0.1223,0.00,0.0000,0,0.3501,9.8947,0,0
GSE228458,ctrl3,control,45.3,8.533,0.726,0.0850,-1.02,0.1330,4,0.7041,15.7320,0,0
GSE228458,ctrl4,control,41.3,8.287,1.402,0.1692,1.28,0.0000,0,0.7213,18.7091,0,0
GSE228458,ctrl5,control,48.6,7.709,0.752,0.0976,-0.67,0.0000,0,1.4405,7.0972,0,1
GSE137619,MS1,MS,72.2,6.433,0.357,0.0555,0.24,0.4180,12,0.7885,19.6682,0,0
GSE137619,MS2,MS,63.6,6.751,0.465,0.0689,0.85,0.1400,4,0.1255,4.2209,0,0
GSE137619,MS3,MS,59.0,6.219,0.317,0.0511,0.04,0.1670,5,0.2626,15.8860,0,0
GSE137619,MS4,MS,76.4,6.400,0.252,0.0393,-0.49,0.3000,9,0.2510,11.4754,0,0
GSE137619,MS5,MS,64.5,5.910,0.268,0.0454,-0.22,0.6040,18,1.4121,22.2966,0,0
GSE137619,MS6,MS,64.2,4.978,0.217,0.0436,-0.30,0.5000,15,1.7237,24.7594,0,0
GSE137619,ctrl1,control,69.3,6.519,0.535,0.0821,1.46,0.2000,6,0.3518,19.0292,0,0
GSE137619,ctrl2,control,75.0,6.769,0.334,0.0493,-0.04,0.2000,6,0.2168,11.8253,0,0
GSE137619,ctrl3,control,60.2,6.594,0.497,0.0754,1.15,0.3880,10,1.0331,27.8344,0,0
GSE137619,ctrl4,control,69.8,6.813,0.209,0.0306,-0.89,0.1670,5,0.1435,4.8648,0,0
GSE137619,ctrl5,control,77.4,6.162,0.158,0.0256,-1.12,0.1000,3,0.2039,6.5787,0,0
GSE137619,ctrl6,control,66.0,7.657,0.530,0.0692,0.87,0.0330,1,0.1669,6.9197,0,0
