donor,group,percent_mapped,TTR,FOLR1,PRLR,OTX2,AQP1,ENPP2,KCNJ13,CLIC6,HTR2C,KL,RBFOX3,SNAP25,SYP,MAP2,STMN2,SLC17A7,GAD1,GAD2,CLDN5,PECAM1,FLT1,CDH5,GFAP,AQP4,ALDH1L1,AIF1,P2RY12,PTPRC,LEPR_short_TPM_2tx,LEPR_long_TPM
MS1,MS,72.20603504704663,44603.7477,118.4113,123.4210,8.9912,70.3193,195.3203,17.1705,42.6924,25.3158,10.9821,0.0261,0.5759,1.1174,0.4065,0.1868,0.1388,0.1095,0.0025,16.9489,4.3097,6.7850,1.5595,6.0030,4.8772,4.5294,13.4197,0.1368,6.2040,19.6682,0.7885
MS2,MS,63.62097471717344,63300.9607,163.2836,104.1348,13.6946,85.9857,209.4026,57.0656,45.4260,28.1711,8.0777,0.0225,0.8049,2.3738,0.3692,0.1205,0.0806,0.2343,0.0369,20.6084,3.9278,3.7988,0.9455,10.1214,3.0927,3.7764,9.1474,0.7058,4.3788,4.2209,0.1255
MS3,MS,58.98758145172379,28888.3462,100.7513,76.8004,10.0561,55.0701,147.4607,28.8972,31.5499,24.6704,9.0165,0.0666,0.1063,1.0222,0.5440,0.0000,0.0070,0.5592,0.0054,14.1117,6.4316,3.2429,2.9905,33.7139,2.5545,6.4094,15.6700,1.9583,4.2995,15.8860,0.2626
MS4,MS,76.4079741083719,46640.4685,104.6257,88.2402,9.0213,84.5588,205.7442,26.6587,42.5120,21.1084,7.9204,0.0029,0.0738,1.2958,0.3453,0.0052,0.0124,0.1930,0.0000,16.0224,5.5117,4.6419,1.5038,2.6784,1.3631,5.0258,9.0063,0.3003,2.9083,11.4754,0.2510
MS5,MS,64.53719952417738,38884.0544,111.1495,99.2412,7.6990,95.3622,117.2980,10.6219,11.6854,9.1622,8.4982,0.0000,0.3600,0.8526,0.6259,0.0151,0.0130,0.0520,0.0000,4.1695,2.8652,6.9299,1.7594,2.5674,0.6895,7.3856,4.8929,0.0442,2.2450,22.2966,1.4121
MS6,MS,64.16480280748027,9652.2891,41.1253,57.5814,6.0734,39.9785,65.9707,5.8238,12.4482,4.1077,3.4517,0.0000,0.1430,0.4477,0.6564,0.0138,0.0214,0.1746,0.0000,3.6650,3.9397,2.0927,1.6675,2.1305,0.5793,8.7099,8.9322,0.2021,3.4548,24.7594,1.7237
ctrl1,control,69.26881866060997,34774.8995,103.2462,91.6315,9.6430,67.5651,178.0215,49.8912,40.4910,31.8753,12.7913,0.0236,1.3098,1.2773,0.8366,0.2334,0.1285,0.2827,0.1031,22.1111,8.0775,1.7443,1.8649,63.2977,5.5797,3.3496,30.8724,1.2597,6.8378,19.0292,0.3518
ctrl2,control,75.04097839413534,51979.0404,183.9943,139.5689,12.5946,64.4221,215.3924,53.1416,52.6860,28.6492,9.6157,0.0137,0.3368,1.8590,0.3379,0.0474,0.0490,0.0855,0.0292,14.0656,4.3888,1.6890,1.8736,7.1818,2.3676,6.2940,9.4429,0.3233,2.4799,11.8253,0.2168
ctrl3,control,60.24994238018604,43186.6164,106.0533,103.4849,15.8002,94.9663,212.1912,27.9478,46.5311,31.1798,8.6564,0.0757,0.8247,1.3081,0.8421,0.1776,0.1629,0.3347,0.0311,18.5571,8.6855,8.0205,2.8774,57.4026,4.5875,10.1440,7.1927,0.5201,4.0819,27.8344,1.0331
ctrl4,control,69.82077461461674,62012.9394,130.0526,116.2471,16.2038,72.4654,146.7431,64.1171,63.6685,34.3163,11.2294,0.0000,0.0194,1.0454,0.2455,0.0065,0.0102,0.2012,0.0021,26.4007,4.7651,1.6852,1.0469,7.8309,2.1787,3.0701,12.8537,0.6603,4.5602,4.8648,0.1435
ctrl5,control,77.43624917802713,56209.1596,112.1944,79.9720,11.5437,56.4790,92.7296,22.5229,46.7905,15.4012,4.5171,0.0000,0.0364,0.8311,0.1334,0.0000,0.0042,0.1108,0.0000,21.3873,5.8903,1.5847,1.4706,1.9428,0.7775,3.3674,7.7490,0.3069,3.8157,6.5787,0.2039
ctrl6,control,66.01413713831353,99458.7309,297.8981,214.4998,27.5961,114.0041,343.4258,110.0371,100.2935,59.7708,21.5963,0.0203,0.8404,2.3148,0.7401,0.1207,0.0868,0.3835,0.0333,48.1646,8.1483,3.3827,1.6769,25.6992,6.0267,6.7816,17.7995,0.7511,5.5359,6.9197,0.1669
