donor,group,SRR,total_reads,seed,prop_sampled,n_reads_sampled,LepRa_reads,LepRb_reads,LepRa_CPM,LepRb_CPM,LepRb_fraction
ctrl1,control,SRR10134643,32827137,42,0.913878,30002520,237,6,7.899,0.200,0.0247
ctrl2,control,SRR10134644,30467885,42,0.984643,30000529,154,6,5.133,0.200,0.0375
ctrl3,control,SRR10134645,25742013,42,1.000000,25742013,204,10,7.925,0.388,0.0467
ctrl4,control,SRR10134646,30490491,42,0.983913,30000304,72,5,2.400,0.167,0.0649
ctrl5,control,SRR10134647,34429360,42,0.871349,30002706,120,3,4.000,0.100,0.0244
ctrl6,control,SRR10134648,32507852,42,0.922854,30002866,68,1,2.266,0.033,0.0145
MS1,MS,SRR10134649,28737771,42,1.000000,28737771,208,12,7.238,0.418,0.0545
MS2,MS,SRR10134650,28588457,42,1.000000,28588457,48,4,1.679,0.140,0.0769
MS3,MS,SRR10134651,30792166,42,0.974274,30001145,168,5,5.600,0.167,0.0289
MS4,MS,SRR10134652,32868076,42,0.912740,30002597,172,9,5.733,0.300,0.0497
MS5,MS,SRR10134653,29789252,42,1.000000,29789252,249,18,8.359,0.604,0.0674
MS6,MS,SRR10134654,32036129,42,0.936443,30002638,269,15,8.966,0.500,0.0528
