donor,group,percent_mapped,TTR,FOLR1,PRLR,OTX2,AQP1,ENPP2,KCNJ13,CLIC6,HTR2C,KL,RBFOX3,SNAP25,SYP,MAP2,STMN2,SLC17A7,GAD1,GAD2,CLDN5,PECAM1,FLT1,CDH5,GFAP,AQP4,ALDH1L1,AIF1,P2RY12,PTPRC,LEPR_short_TPM_2tx,LEPR_long_TPM
AD1,AD,42.373174275526864,35080.5651,185.4426,265.2787,27.2171,167.6728,274.6497,43.7624,68.1816,51.9361,21.4082,0.0000,0.3935,1.7542,3.9628,0.8976,0.1097,2.5803,0.0000,26.7076,14.8365,22.0753,4.3471,753.8686,41.9916,9.8329,9.7594,0.3636,17.9894,28.5577,2.6601
AD2,AD,46.66979943667485,50938.0323,216.7997,288.3070,51.4132,250.3538,304.3507,80.0136,162.2211,77.8802,21.5243,0.0091,0.0540,2.6462,0.8808,0.2383,0.0916,2.1688,0.0000,75.3866,18.7991,13.7779,4.8202,21.0761,1.8157,12.0383,12.9966,1.6860,12.2706,12.8250,0.6320
AD3,AD,44.58097574064773,65504.6813,420.4613,381.5703,65.6117,282.7679,518.3842,217.4276,180.8277,169.8776,48.7214,0.0279,0.2353,2.8029,1.0523,0.2088,0.0619,2.2024,0.0000,117.5020,14.9559,9.6873,3.8741,59.1354,12.2397,12.8615,19.5489,0.8590,22.4232,12.4978,0.6420
AD4,AD,42.703223440553664,45804.0551,181.5163,589.3317,40.2706,223.4891,354.7241,28.8770,33.2799,30.8720,52.3121,0.4830,2.5391,1.9071,3.2530,4.4334,1.5653,0.9324,0.0257,12.3030,16.6698,46.4462,3.8015,56.4495,2.4258,5.0534,8.1608,0.2734,14.2665,8.9004,0.9605
DM1_1,DM1,46.67010771950678,57557.4807,337.8063,384.6956,48.4332,550.9540,771.9587,134.6201,135.6627,149.6342,43.3391,0.0251,0.3742,4.6468,2.0452,0.0000,0.0952,2.5554,0.0154,98.3634,19.1465,35.1518,7.2718,94.2201,7.9322,11.7781,10.4265,1.0394,11.0029,14.7836,0.3179
DM1_2,DM1,48.7309666190029,26509.3924,191.5719,241.8231,25.4930,245.3237,186.2913,33.4595,41.3983,58.6136,28.3229,0.0177,0.4723,1.5992,1.9682,0.2320,0.1460,0.9498,0.1356,39.5076,20.8565,22.5777,8.2203,245.0941,4.6818,13.9547,13.9657,0.5297,12.7289,13.0555,1.2516
DM1_3,DM1,52.94293310559173,97199.4906,617.7614,412.6354,58.6688,516.5883,440.6338,63.3013,129.0654,64.8234,23.2127,0.1465,1.0672,6.3740,3.1125,0.1416,0.1152,2.1727,0.0266,120.5495,21.3682,20.2742,4.5290,805.4832,16.9276,16.7037,9.5008,0.5093,13.0217,3.0913,0.2310
DM1_4,DM1,54.8378285426941,44568.9235,263.3666,263.7410,34.0010,206.0882,315.6218,75.1326,71.6209,73.7498,29.0150,0.0790,1.5640,4.5553,3.6074,0.6303,0.3172,2.0249,0.0469,75.6759,26.3795,16.4528,8.8913,1324.7284,32.0731,17.3934,20.6111,1.1772,13.0954,9.3561,0.4680
ctrl1,control,45.64614330582246,80052.7388,427.8448,475.7543,50.2620,318.1356,802.8059,244.9665,157.7871,202.4129,73.4223,0.0463,2.2115,3.7118,2.0432,0.3975,0.7223,2.7703,0.0615,133.7422,15.5104,12.0596,11.8800,62.0950,8.1939,13.9809,10.6710,1.5624,12.7429,43.0602,1.3142
ctrl2,control,48.36543041329949,64976.1536,456.5907,528.0361,54.0748,335.3460,604.2455,164.8352,156.0843,173.1258,65.2808,0.0238,0.9749,4.6091,1.9352,0.3084,0.2709,4.8343,0.0188,143.5794,11.3933,8.3173,4.9274,79.2500,6.6152,13.8927,21.8264,1.0361,13.0618,9.8947,0.3501
ctrl3,control,45.2819311270991,59938.6207,386.7233,399.3593,63.9506,306.0798,635.9665,224.7048,163.4442,187.4439,57.9633,0.0373,0.5698,3.7893,1.1570,0.0135,0.2029,1.6918,0.0131,128.5795,9.8386,8.4298,4.8830,47.5932,9.4506,11.2035,9.5664,0.5180,13.6124,15.7320,0.7041
ctrl4,control,41.31153545734094,55037.0655,349.9756,345.1084,56.7973,250.4902,551.2872,158.2396,149.9402,145.0882,45.8533,0.1482,3.3753,3.1659,3.8323,0.6478,0.8570,3.5213,0.7014,100.6547,15.2590,14.0637,9.0088,443.7045,23.2086,13.9192,9.6513,1.2112,16.0796,18.7091,0.7213
ctrl5,control,48.605598572440286,40939.4176,278.9635,404.1576,43.9946,270.4656,276.4673,66.5727,97.8108,60.0460,24.0263,0.2958,0.4832,2.1101,1.2216,0.1156,0.2115,2.2049,0.1267,37.0682,18.1594,23.8956,7.1156,43.0688,2.8683,12.1604,8.8523,0.0884,6.6588,7.0972,1.4405
