donor,group,LEPR_gene_TPM,LEPR_gene_NumReads,LepRa_like_short_TPM,LepRb_like_long_TPM,frac_long,LEPR-202_ENST00000349533_TPM,LEPR-201_ENST00000344610_TPM,LEPR-203_ENST00000371058_TPM,LEPR-205_ENST00000371060_TPM,LEPR-208_ENST00000616738_TPM,LEPR-204_ENST00000371059_TPM,LEPR-206_ENST00000462765_TPM,LEPR-207_ENST00000471762_TPM
AD1,AD,42.8534,6805.01,28.5577,2.6601,0.0852,2.6601,0.0000,0.0000,2.8978,25.6599,2.5781,2.2343,6.8234
AD2,AD,17.6300,2864.96,13.4316,0.6320,0.0449,0.6320,0.6065,0.0000,3.0565,9.7685,1.0533,1.3237,1.1895
AD3,AD,18.1318,3242.92,12.4978,0.6420,0.0489,0.6420,0.0000,0.0000,1.5804,10.9174,1.8309,1.4451,1.7160
AD4,AD,16.2517,2264.00,11.0387,0.9605,0.0801,0.9605,2.1383,0.0000,2.7443,6.1561,1.0069,2.1667,1.0788
DM1_1,DM1,19.2607,3932.82,14.9181,0.3179,0.0209,0.3179,0.1345,0.0000,3.8344,10.9492,1.3124,1.6745,1.0378
DM1_2,DM1,22.0361,4359.51,13.4642,1.2516,0.0851,1.2516,0.4087,0.0000,1.2393,11.8162,1.6234,3.9349,1.7621
DM1_3,DM1,7.0235,663.17,5.1049,0.2310,0.0433,0.2310,2.0136,0.0000,1.2677,1.8236,1.0850,0.0000,0.6026
DM1_4,DM1,14.9376,3134.05,9.3561,0.4680,0.0476,0.4680,0.0000,0.0000,1.2376,8.1185,1.4423,2.0300,1.6413
ctrl1,control,57.0490,7832.04,44.4513,1.3142,0.0287,1.3142,1.3911,0.0000,6.5184,36.5418,4.1153,4.8978,2.2704
ctrl2,control,17.8658,2988.73,10.9324,0.3501,0.0310,0.3501,1.0377,0.0000,1.2509,8.6438,1.3891,4.0586,1.1356
ctrl3,control,19.8128,3639.95,15.7320,0.7041,0.0428,0.7041,0.0000,0.0000,2.2384,13.4935,2.4069,0.0000,0.9699
ctrl4,control,24.2828,3836.00,18.7091,0.7213,0.0371,0.7213,0.0000,0.0000,3.6859,15.0232,1.0794,2.0003,1.7726
ctrl5,control,16.3047,2859.36,10.3179,1.4405,0.1225,1.4405,3.2207,0.0000,0.4956,6.6016,1.6021,0.0000,2.9443
